ts	collector	metric	value
1710500001000	mem_host	mem_free_mb	3842.5
1710500015000	mem_host	mem_free_mb	3790.2
1710500030000	mem_host	mem_free_mb	3685.7
1710500045000	mem_host	mem_free_mb	3542.1
1710500060000	mem_host	mem_free_mb	3498.6
1710500075000	mem_host	mem_free_mb	3412.3
1710500090000	mem_host	mem_free_mb	3356.8
1710500105000	mem_host	mem_free_mb	3289.4
1710500120000	mem_host	mem_free_mb	3201.5
1710500135000	mem_host	mem_free_mb	3145.2
1710500150000	mem_host	mem_free_mb	3067.8
1710500165000	mem_host	mem_free_mb	2998.3
1710500180000	mem_host	mem_free_mb	2934.7
1710500195000	mem_host	mem_free_mb	2876.1
1710500210000	mem_host	mem_free_mb	2801.5
1710500225000	mem_host	mem_free_mb	2745.9
1710500240000	mem_host	mem_free_mb	2689.3
1710500260000	mem_host	mem_free_mb	2612.7
1710500280000	mem_host	mem_free_mb	2548.4
1710500300000	mem_host	mem_free_mb	2487.6
1710500320000	mem_host	mem_free_mb	2401.8
1710500340000	mem_host	mem_free_mb	2334.2
