ts	collector	metric	value
1710500001000	net_host	net_bytes_in	125430.0
1710500016000	net_host	net_bytes_in	132150.5
1710500032000	net_host	net_bytes_in	145890.2
1710500048000	net_host	net_bytes_in	152340.8
1710500060000	net_host	net_bytes_in	158920.3
1710500076000	net_host	net_bytes_in	167450.1
1710500092000	net_host	net_bytes_in	172380.6
1710500108000	net_host	net_bytes_in	178540.9
1710500120000	net_host	net_bytes_in	183290.4
1710500136000	net_host	net_bytes_in	176520.7
1710500152000	net_host	net_bytes_in	168930.2
1710500168000	net_host	net_bytes_in	159870.5
1710500180000	net_host	net_bytes_in	148730.8
1710500196000	net_host	net_bytes_in	137650.3
1710500212000	net_host	net_bytes_in	128470.6
1710500228000	net_host	net_bytes_in	119340.9
1710500240000	net_host	net_bytes_in	112580.4
1710500265000	net_host	net_bytes_in	105430.7
1710500290000	net_host	net_bytes_in	98750.2
1710500300000	net_host	net_bytes_in	94120.5
